id,name,is_trans,num_parts,num_sets,y1,y2,lifetime_years,avg_parts_per_set
1034,Modulex Tile Blue,False,80,79,1963.0,1963.0,0.0,1.0126582278481013
1035,Modulex Medium Blue,False,8,8,1963.0,1963.0,0.0,1.0
1006,Trans-Light Royal Blue,True,90,48,2005.0,2005.0,0.0,1.875
1010,Vintage Red,False,31,8,1949.0,1949.0,0.0,3.875
1099,Glitter Trans-Pink,True,2,1,2005.0,2005.0,0.0,2.0
1097,Glitter Trans-Medium Purple,True,6,3,2005.0,2005.0,0.0,2.0
1083,Two-tone Copper,False,2,2,2001.0,2001.0,0.0,1.0
1078,Duplo Medium Green,False,1,1,2003.0,2003.0,0.0,1.0
1076,Duplo Lime,False,5,3,1992.0,1992.0,0.0,1.6666666666666667
1080,Light Tan,False,1,1,2006.0,2006.0,0.0,1.0
1079,Duplo Light Green,False,1,1,2004.0,2004.0,0.0,1.0
1082,Clikits Pink,False,32,10,2006.0,2006.0,0.0,3.2
1098,Glitter Trans-Green,True,1,1,2000.0,2000.0,0.0,1.0
1075,Duplo Medium Blue,False,1,1,2004.0,2004.0,0.0,1.0
1084,Two-tone Gold,False,6,6,2002.0,2002.0,0.0,1.0
1085,Two-tone Silver,False,6,6,2002.0,2002.0,0.0,1.0
1090,Duplo Turquoise,False,2,2,2003.0,2003.0,0.0,1.0
1091,Warm Yellowish Orange,False,19,19,2004.0,2004.0,0.0,1.0
1108,HO Dark Aqua,False,1,1,1958.0,1958.0,0.0,1.0
1115,HO Dark Turquoise,False,1,1,1965.0,1965.0,0.0,1.0
1114,HO Dark Sand Green,False,1,1,1958.0,1958.0,0.0,1.0
1112,HO Dark Lime,False,1,1,1958.0,1958.0,0.0,1.0
1101,Duplo Dark Purple,False,1,1,2003.0,2003.0,0.0,1.0
1107,HO Cyan,False,1,1,1958.0,1958.0,0.0,1.0
1105,HO Azure,False,1,1,1963.0,1963.0,0.0,1.0
1104,HO Aqua,False,1,1,1958.0,1958.0,0.0,1.0
1147,Blue Violet,False,385,111,2026.0,2026.0,0.0,3.4684684684684686
-1,[Unknown],False,17,2,2000.0,2000.0,0.0,8.5
1146,Warm Pink,False,405,58,2026.0,2026.0,0.0,6.982758620689655
1134,HO Titanium,False,1,1,1958.0,1958.0,0.0,1.0
32,Trans-Black IR Lens,True,0,0,,,,
1096,Glitter Trans-Bright Green,True,0,0,,,,
