year,color,total_quantity
1975.0,[No Color/Any Color],15
1976.0,Black,2900
1976.0,Blue,1916
1976.0,Brown,11
1976.0,Green,79
1976.0,Light Gray,369
1976.0,Milky White,41
1976.0,Red,2499
1976.0,Trans-Clear,284
1976.0,Trans-Red,4
1976.0,White,1946
1976.0,Yellow,1778
1976.0,[No Color/Any Color],25
1977.0,Black,2195
1977.0,Blue,1301
1977.0,Brown,6
1977.0,Chrome Silver,2
1977.0,Green,48
1977.0,Light Gray,916
1977.0,Milky White,20
1977.0,Red,2115
1977.0,Trans-Clear,430
1977.0,White,1127
1977.0,Yellow,1843
1977.0,[No Color/Any Color],17
1978.0,Black,2953
1978.0,Blue,840
1978.0,Brown,37
1978.0,Dark Gray,8
1978.0,Green,113
1978.0,Light Gray,1487
1978.0,Milky White,5
1978.0,Red,2631
1978.0,Trans-Clear,244
1978.0,Trans-Dark Blue,20
1978.0,Trans-Green,11
1978.0,Trans-Red,11
1978.0,Trans-Yellow,4
1978.0,White,1711
1978.0,Yellow,2368
1978.0,[No Color/Any Color],56
1979.0,Black,1691
1979.0,Blue,1817
1979.0,Brown,26
1979.0,Dark Gray,8
1979.0,Fabuland Brown,1
1979.0,Fabuland Red,1
1979.0,Green,96
1979.0,Light Gray,2334
1979.0,Nougat,2
1979.0,Red,1179
1979.0,Trans-Clear,109
1979.0,Trans-Dark Blue,46
1979.0,Trans-Green,55
1979.0,Trans-Red,128
1979.0,Trans-Yellow,144
1979.0,White,1480
1979.0,Yellow,1656
1979.0,[No Color/Any Color],36
1980.0,Black,3478
1980.0,Blue,1505
1980.0,Brown,14
1980.0,Dark Gray,361
1980.0,Fabuland Red,1
1980.0,Green,88
1980.0,Light Gray,2797
1980.0,Maersk Blue,115
1980.0,Nougat,1
1980.0,Red,2172
1980.0,Trans-Clear,231
1980.0,Trans-Dark Blue,18
1980.0,Trans-Green,25
1980.0,Trans-Red,84
1980.0,Trans-Yellow,96
1980.0,White,845
1980.0,Yellow,1563
1980.0,[No Color/Any Color],33
1981.0,Black,2148
1981.0,Blue,867
1981.0,Brown,10
1981.0,Dark Gray,42
1981.0,Green,145
1981.0,Light Gray,1892
1981.0,Milky White,2
1981.0,Red,1637
1981.0,Trans-Clear,159
1981.0,Trans-Dark Blue,45
1981.0,Trans-Green,24
1981.0,Trans-Red,113
1981.0,Trans-Yellow,61
1981.0,White,1229
1981.0,Yellow,1559
1981.0,[No Color/Any Color],26
1982.0,Black,1114
1982.0,Blue,643
1982.0,Brown,20
1982.0,Dark Gray,11
1982.0,Earth Orange,14
1982.0,Fabuland Brown,15
1982.0,Fabuland Lime,2
1982.0,Green,74
1982.0,Light Gray,852
1982.0,Milky White,1
1982.0,Nougat,1
1982.0,Red,1052
1982.0,Tan,9
1982.0,Trans-Clear,54
1982.0,Trans-Dark Blue,8
1982.0,Trans-Green,13
1982.0,Trans-Red,50
1982.0,Trans-Yellow,43
1982.0,White,1022
1982.0,Yellow,932
1982.0,[No Color/Any Color],21
1983.0,Black,1863
1983.0,Blue,786
1983.0,Brown,10
1983.0,Dark Gray,78
1983.0,Earth Orange,1
1983.0,Fabuland Brown,2
1983.0,Fabuland Orange,1
1983.0,Green,67
1983.0,Light Gray,1239
1983.0,Red,1066
1983.0,Trans-Clear,141
1983.0,Trans-Dark Blue,33
1983.0,Trans-Green,23
1983.0,Trans-Red,99
1983.0,Trans-Yellow,46
1983.0,White,1341
1983.0,Yellow,649
1983.0,[No Color/Any Color],36
1984.0,Black,1990
1984.0,Blue,1536
1984.0,Brown,54
1984.0,Dark Gray,37
1984.0,Earth Orange,1
1984.0,Fabuland Brown,4
1984.0,Green,82
1984.0,Light Gray,1678
1984.0,Red,749
1984.0,Trans-Clear,92
1984.0,Trans-Dark Blue,8
1984.0,Trans-Green,36
1984.0,Trans-Red,180
1984.0,Trans-Yellow,125
1984.0,White,660
1984.0,Yellow,923
1984.0,[No Color/Any Color],12
1985.0,Black,4583
1985.0,Blue,2494
1985.0,Brown,88
1985.0,Dark Gray,254
1985.0,Earth Orange,3
1985.0,Fabuland Brown,9
1985.0,Fabuland Lime,1
1985.0,Fabuland Red,6
1985.0,Green,287
1985.0,Light Gray,3058
1985.0,Maersk Blue,132
1985.0,Milky White,3
1985.0,Nougat,6
1985.0,Red,4081
1985.0,Royal Blue,1
1985.0,Trans-Clear,491
1985.0,Trans-Dark Blue,48
1985.0,Trans-Green,43
1985.0,Trans-Light Blue,62
1985.0,Trans-Red,270
1985.0,Trans-Yellow,137
1985.0,White,2520
1985.0,Yellow,2226
1985.0,[No Color/Any Color],127
1986.0,Black,4060
1986.0,Blue,1697
1986.0,Brown,80
1986.0,Dark Gray,28
1986.0,Earth Orange,1
1986.0,Fabuland Brown,6
1986.0,Fabuland Lime,13
1986.0,Fabuland Red,7
1986.0,Green,206
1986.0,Light Gray,3546
1986.0,Maersk Blue,18
1986.0,Nougat,5
1986.0,Red,2487
1986.0,Tan,19
1986.0,Trans-Clear,162
1986.0,Trans-Dark Blue,38
1986.0,Trans-Green,61
1986.0,Trans-Light Blue,26
1986.0,Trans-Red,277
1986.0,Trans-Yellow,171
1986.0,White,3096
1986.0,Yellow,1949
1986.0,[No Color/Any Color],52
1987.0,Black,3828
1987.0,Blue,1677
1987.0,Brown,63
1987.0,Dark Gray,21
1987.0,Earth Orange,3
1987.0,Fabuland Brown,12
1987.0,Fabuland Orange,4
1987.0,Green,236
1987.0,Light Gray,1713
1987.0,Milky White,5
1987.0,Red,2680
1987.0,Trans-Clear,208
1987.0,Trans-Dark Blue,61
1987.0,Trans-Green,37
1987.0,Trans-Light Blue,36
1987.0,Trans-Red,236
1987.0,Trans-Yellow,103
1987.0,White,3029
1987.0,Yellow,1976
1987.0,[No Color/Any Color],36
1988.0,Black,3259
1988.0,Blue,558
1988.0,Brown,56
1988.0,Dark Gray,47
1988.0,Earth Orange,2
1988.0,Fabuland Brown,3
1988.0,Green,177
1988.0,Light Gray,1453
1988.0,Red,1117
1988.0,Tan,1
1988.0,Trans-Clear,72
1988.0,Trans-Dark Blue,92
1988.0,Trans-Green,18
1988.0,Trans-Light Blue,35
1988.0,Trans-Red,274
1988.0,Trans-Yellow,76
1988.0,White,2315
1988.0,Yellow,1474
1988.0,[No Color/Any Color],32
1989.0,Black,5210
1989.0,Blue,1371
1989.0,Brown,578
1989.0,Chrome Gold,176
1989.0,Dark Gray,222
1989.0,Fabuland Red,1
1989.0,Green,300
1989.0,Light Gray,2324
1989.0,Milky White,2
1989.0,Nougat,1
1989.0,Red,1739
1989.0,Rust,9
1989.0,Trans-Clear,119
1989.0,Trans-Dark Blue,38
1989.0,Trans-Green,15
1989.0,Trans-Light Blue,52
1989.0,Trans-Red,223
1989.0,Trans-Yellow,149
1989.0,White,2236
1989.0,Yellow,2295
1989.0,[No Color/Any Color],23
1990.0,Black,4324
1990.0,Blue,1658
1990.0,Brown,129
1990.0,Chrome Gold,8
1990.0,Dark Gray,73
1990.0,Earth Orange,12
1990.0,Fabuland Brown,1
1990.0,Green,276
1990.0,Light Gray,2890
1990.0,Nougat,1
1990.0,Red,4335
1990.0,Trans-Clear,179
1990.0,Trans-Dark Blue,64
1990.0,Trans-Green,30
1990.0,Trans-Light Blue,177
1990.0,Trans-Neon Green,112
1990.0,Trans-Red,153
1990.0,Trans-Yellow,153
1990.0,White,4312
1990.0,Yellow,1955
1990.0,[No Color/Any Color],163
1991.0,Black,5705
1991.0,Blue,1304
1991.0,Brown,181
1991.0,Chrome Gold,12
1991.0,Dark Gray,241
1991.0,Earth Orange,2
1991.0,Fabuland Brown,3
1991.0,Fabuland Red,4
1991.0,Green,263
1991.0,Light Gray,3193
1991.0,Light Pink,9
1991.0,Nougat,5
1991.0,Red,4159
1991.0,Rust,4
1991.0,Trans-Clear,327
1991.0,Trans-Dark Blue,92
1991.0,Trans-Green,43
1991.0,Trans-Light Blue,189
1991.0,Trans-Neon Green,218
1991.0,Trans-Red,205
1991.0,Trans-Yellow,222
1991.0,White,3906
1991.0,Yellow,2938
1991.0,[No Color/Any Color],55
1992.0,Black,4668
1992.0,Blue,877
1992.0,Brown,239
1992.0,Chrome Gold,44
1992.0,Dark Gray,144
1992.0,Duplo Lime,5
1992.0,Duplo Pink,14
1992.0,Green,286
1992.0,Light Gray,3360
1992.0,Light Green,13
1992.0,Light Pink,125
1992.0,Maersk Blue,4
1992.0,Milky White,16
1992.0,Red,2025
1992.0,Tan,10
1992.0,Trans-Clear,128
1992.0,Trans-Dark Blue,97
1992.0,Trans-Green,69
1992.0,Trans-Light Blue,85
1992.0,Trans-Neon Green,10
1992.0,Trans-Red,101
1992.0,Trans-Yellow,185
1992.0,Violet,1
1992.0,White,2721
1992.0,Yellow,1349
1992.0,[No Color/Any Color],34
1993.0,Black,5684
1993.0,Blue,1228
1993.0,Brown,264
1993.0,Chrome Gold,60
1993.0,Chrome Silver,1
1993.0,Dark Gray,200
1993.0,Duplo Pink,33
1993.0,Earth Orange,2
1993.0,Glow In Dark Opaque,6
1993.0,Green,320
1993.0,Light Gray,3348
1993.0,Light Green,16
1993.0,Light Pink,93
1993.0,Maersk Blue,3
1993.0,Nougat,1
1993.0,Red,2232
1993.0,Trans-Clear,193
1993.0,Trans-Dark Blue,52
1993.0,Trans-Green,61
1993.0,Trans-Light Blue,100
1993.0,Trans-Neon Green,34
1993.0,Trans-Neon Orange,172
1993.0,Trans-Red,156
1993.0,Trans-Yellow,159
1993.0,White,3087
1993.0,Yellow,1577
1993.0,[No Color/Any Color],45
1994.0,Black,6199
1994.0,Blue,1062
1994.0,Brown,185
1994.0,Chrome Gold,36
1994.0,Chrome Silver,25
1994.0,Dark Gray,237
1994.0,Dark Orange,2
1994.0,Earth Orange,4
1994.0,Fabuland Red,2
1994.0,Glow In Dark Opaque,2
1994.0,Green,387
1994.0,Light Gray,3858
1994.0,Light Green,10
1994.0,Light Violet,30
1994.0,Light Yellow,23
1994.0,Medium Dark Pink,169
1994.0,Medium Green,81
1994.0,Nougat,2
1994.0,Pink,72
1994.0,Red,3006
1994.0,Tan,6
1994.0,Trans-Clear,108
1994.0,Trans-Dark Blue,176
1994.0,Trans-Green,28
1994.0,Trans-Light Blue,131
1994.0,Trans-Neon Green,86
1994.0,Trans-Neon Orange,22
1994.0,Trans-Red,131
1994.0,Trans-Yellow,131
1994.0,White,2571
1994.0,Yellow,1685
1994.0,[No Color/Any Color],86
1995.0,Black,6642
1995.0,Blue,2599
1995.0,Bright Green,3
1995.0,Brown,210
1995.0,Chrome Gold,26
1995.0,Chrome Silver,63
1995.0,Dark Gray,324
1995.0,Dark Orange,2
1995.0,Earth Orange,6
