fig_num,num_distinct_colors,fig_name,num_parts
fig-009830,29,"Paramedic, Woman, Red Jacket with Star of Life, Dark Blue Cap with Hair",4
fig-009831,29,"Man, Open Green Jacket, Dark Tan Legs, Black Hair",4
fig-009832,29,"Man, Bright Light Blue Letterman Jacket, Dark Blue Legs, Light Bluish Gray Helmet",4
fig-009833,29,"Woman, Bright Light Blue Hoodie, Dark Bluish Gray Legs, Medium Azure Helmet with Hair and Snow Goggles",5
fig-009834,29,"Paramedic, Woman, Red Jacket with Star of Life, Dark Blue Dirt Bike Helmet with Snow Goggles, Printed Snow Goggles",5
fig-009835,29,"Paramedic, Red Jacket with Star of Life, Dark Blue Dirt Bike Helmet with Snow Goggles, Printed Snow Goggles",5
fig-009836,22,"Boy, Dark Tan Vest with Zippers and Pouches, Short Dark Blue Legs, Dark Tan Cap",4
fig-009837,22,"Woman, Open Medium Lavender over Lavender Shirt, Dark Tan Legs, Dark Orange Hair",4
fig-009838,22,"Man, Red Flannel Shirt, Medium Blue Legs, Black Hair, Beard",4
fig-009839,19,"Baby, Yellowish Green Body",2
fig-009840,19,"Racer, Woman, White, Black and Red Jacket, Red Legs, Dark Blue Dirt Bike Helmet with Goggles, Dirt Stains",5
fig-009841,19,"Man, Orange Tank Top with 'SPORT', Dark Orange Legs with Straps, White Helmet, Orange Safety Glasses",4
fig-009842,19,"Man, Open Dark Red Jacket, Dark Tan Legs, Dark Azure Helmet, Orange Life Vest, Beard",5
fig-009843,19,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Brown Legs, Dark Azure Helmet, Orange Life Vest",5
fig-009844,19,"Woman, Medium Nougat Jacket, Sand Blue Legs, Dark Brown Hair",4
fig-009845,19,"Man, Open Green Jacket, Black Legs, Medium Nougat Hair",4
fig-009846,19,"Man, Medium Blue Shirt with Palm Trees and Sunset, Tan Legs, Dark Brown Hair, Moustache",4
fig-009847,19,"Girl, Bright Pink Striped Top with Cat Head, Dark Azure Shorts, Medium Nougat Hair",4
fig-009848,19,"Girl, Dark Purple Jacket, Short Black Legs, Bright Light Yellow Hair",4
fig-009849,19,"Woman, Bright Pink Top, Dark Tan Legs, Reddish Brown Hair",4
fig-009850,19,"Man, Dark Tan Vest with Zippers and Pouches, Black Hair, Baby Carrier, Stubble",5
fig-009851,19,"Boy, Tan Shirt, Short Medium Nougat Legs, Reddish Brown Hair, Backpack, Glasses",5
fig-009852,19,"Woman, Dark Pink Jacket, Dark Blue Legs, Light Bluish Gray Hair",4
fig-009853,19,"Woman, Open Bright Light Blue Hoodie over Dark Purple Shirt with Star, Blue Legs, Dark Orange Hair",4
fig-009854,16,"Worker, Woman, Blue Jacket with Orange Stripes, Dark Azure Legs, Reddish Brown Hair",4
fig-009855,16,"Worker, Blue Jacket with Orange Stripes, Medium Blue Legs, Blue Cap, Goatee Beard",4
fig-009856,16,"Racer, Woman, White and Red Jumpsuit, Tan Hair, Safety Glasses",4
fig-009857,16,"Racer, White and Red Jumpsuit, Red Helmet with Visor, Sunglasses",6
fig-009858,23,"Woman, Blue and White Stripe Shirt with Red Bow Tie, Red Legs, Bright Light Yellow Hair",4
fig-009859,23,"Man, Lime Hoodie, Blue Legs, Dark Azure Helmet",4
fig-009860,26,"Barista, Woman, White Torso, Reddish Brown Apron, Medium Nougat Hair",4
fig-009861,26,"Barista, Man, White Torso, Reddish Brown Apron, Black Hair",4
fig-009862,26,"Boy, Floating Classic Spaceman on Shirt, Short Blue Legs, Reddish Brown Hair",4
fig-009863,26,"Man, Dark Blue Letterman Shirt with 'NH', Sand Blue Legs, Dark Blue Cap, Stubble",4
fig-009864,26,"Woman, Red Jacket, Black Legs, Reddish Brown Hair",4
fig-009865,26,"Man, Open Dark Red Jacket, Dark Blue Legs, Dark Red Cap, Moustache",4
fig-009866,26,"Woman, Bright Pink Top, Blue Legs, Bright Light Yellow Hair",4
fig-009867,26,"Construction Worker, Blue Jacket, Olive Green Legs, White Hard Hat, Moustache",4
fig-009868,21,"Man, Medium Blue Shirt with Octan Logo, White Legs, Blue Cap, Goatee Beard",4
fig-009869,21,"Woman, Blue Overalls over Shirt, Dark Orange Hair, Dirt Stains",4
fig-009870,21,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Bluish Gray Legs, Bright Light Yellow Hair, Silver Sunglasses",4
fig-009871,30,"Jack Davids, Red Jacket with Backwards Red Cap",4
fig-009872,30,Shadow Walker with Helmet,5
fig-009873,30,Nehmaar Reem,7
fig-009874,34,Vaughn Geist,5
fig-009875,27,"Parker L. Jackson, Black Top, Medium Lavender Hair with Headphones",4
fig-009876,27,Shadow Walker with Hood,4
fig-009877,27,Teevee,5
fig-009878,32,Rami,4
fig-009879,32,"Douglas Elton / El Fuego, Skeleton with Red Helmet and Cape",8
fig-009880,32,Nate Lockem,4
fig-009881,20,Shadow Walker with Helmet and Wings,5
fig-009882,25,"Vaughn Geist, Angry",5
fig-009883,25,"Parker L. Jackson, Black Top, Medium Lavender Hair with Headphones",4
fig-009884,25,Statue of Evil,4
fig-009885,14,"Chess Queen, Dark Green",5
fig-009886,14,"Knight, Armour with Chain, Helmet",5
fig-009887,14,"Knight, Dark Green, Wide Brim Helmet",4
fig-009888,21,"Dragon Knight, Black, Helmet with Dark Green Plume",5
fig-009889,14,"Jester, Red and White, Quiver",5
fig-009890,14,"Chess King, Red, Cape, Gold Crown with Red Plume",6
fig-009891,14,"Chess Queen, Red Dress, Gold Crown",5
fig-009892,14,"Knight, Red, Silver Armor, Helmet with Red Plume",6
fig-009893,14,"Knight, Red, Wide Brim Helmet",4
fig-009894,33,"Troll, Sand Green (Big Fig)",12
fig-009895,33,"King, Gold Armor and Crown",5
fig-009896,6,"Knight, Archer with Metallic Silver Helmet, Light Bluish Grey Legs, and Quiver",5
fig-009897,33,"Knight, Archer with Metallic Silver Helmet, and Quiver, Cheek Lines",5
fig-009898,33,"Knight, Armor, Wide Brim Helmet",5
fig-009899,33,"Dwarf, Black Beard, Copper Helmet",5
fig-009900,35,"Dwarf, Black Beard, Metallic Silver Helmet",5
fig-009901,33,"Dwarf, Dark Brown Beard, Copper Helmet",5
fig-009902,33,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5
fig-009903,33,"Dwarf, Dark Brown Beard, Metallic Silver Helmet",5
fig-009904,33,"Dwarf, Dark Orange Beard, Copper Helmet",5
fig-009905,33,"Dwarf, Dark Orange Beard, Metallic Gold Winged Helmet",5
fig-009906,33,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5
fig-009907,34,"Skeleton Warrior Grimhelma, Speckle Black-Silver Armor and Helmet",5
fig-009908,35,Troll Warrior 1 (Orc),4
fig-009909,33,Troll Warrior 3 with Shoulder Armor (Orc),5
fig-009910,33,Troll Warrior 7 (Orc),4
fig-009911,34,Troll Warrior 8 (Orc),4
fig-009912,33,Troll Warrior 9 (Orc),5
fig-009913,7,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5
fig-009914,7,"Dwarf, Dark Orange Beard, Copper Helmet",5
fig-009915,7,"Dwarf, Dark Brown Beard, Metallic Silver Winged Helmet",5
fig-009916,7,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5
fig-009917,7,"Dwarf, Black Beard, Copper Helmet",5
fig-009918,18,"Troll, Dark Tan with Tattoos (Big Fig)",10
fig-009919,18,"Troll, Sand Green with Tattoos (Big Fig)",10
fig-009920,18,"King Brutus, Dark Blue, Gold Armor and Crown",5
fig-009921,18,"Knight, Dark Blue, Wide Brim Helmet",4
fig-009922,25,"Knight, Dark Blue, Helmet",4
fig-009923,18,"Knight, Dark Blue, Armor, Helmet with Grille",5
fig-009924,18,"Troll King, Reddish Brown Crown",5
fig-009925,18,Troll Queen,5
fig-009926,28,Troll Warrior 2 (Orc),4
fig-009927,20,"Knight, Archer with Wide Brim Helmet, Quiver, Beard",5
fig-009928,20,"Knight, Archer with Wide Brim Helmet, Quiver",5
fig-009929,20,"Knight, Dark Blue, Helmet, Stubble",4
fig-009930,20,"Knight, Dark Blue, Helmet, Beard",4
fig-009931,17,"Knight, Black, Armor, Helmet with Grille",5
fig-009932,12,"Skeleton, Red Eyes, Speckle Black-Silver Helmet",7
fig-009933,9,"Knight, Black, Armor, Helmet with Grille, Cheek Lines",5
fig-009934,19,"Knight, Dark Blue, Helmet, Angry",4
fig-009935,9,"Knight, Dark Blue, Wide Brim Helmet, Stubble",4
fig-009936,9,"Knight, Dark Blue, Helmet",4
fig-009937,16,"Skeleton, Red Eyes, Black Hood and Cape",8
fig-009938,15,"Jester, Red and Blue",4
fig-009939,15,"Knight, Gold, Armor, Helmet with Visor and Dark Blue Plume",7
fig-009940,15,"Queen, Blue Dress, Crown",5
fig-009941,15,"Knight, Dark Blue, Helmet, Smile",4
fig-009942,14,"Knight, Dark Blue, Wide Brim Helmet, Cheek Lines",4
fig-009943,14,"King, Dark Blue, Gold Armor and Crown with Dark Blue Plume",6
fig-009944,19,Troll Warrior 7 with Shoulder Armor (Orc),5
fig-009945,16,"Dwarf, Dark Orange Beard, Metallic Silver Helmet, Printed Beard",5
fig-009946,16,Troll Warrior 7 with Armor (Orc),5
fig-009947,36,"Knight, Dark Blue, Helmet, Happy / Scared",4
fig-009948,16,"Knight, Dark Blue, Wide Brim Helmet, Goatee Beard",4
fig-009949,11,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5
fig-009950,17,"Troll, Sand Green with 5 White Horns (Big Fig)",12
fig-009951,17,"Knight, Dark Blue, Helmet, Goatee Beard",4
fig-009952,17,"Knight, Dark Blue, Helmet, Stubble and Printed Hair",4
fig-009953,19,"Knight, Archer with Wide Brim Helmet, Quiver, Smile",5
fig-009954,20,"Dwarf, Dark Brown Beard, Copper Helmet, Cheek Lines",5
fig-009955,20,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5
fig-009956,20,"Dwarf, Dark Orange Beard, Metallic Silver Winged Helmet, Printed Beard",5
fig-009957,21,"Skeleton, Red Eyes, Bicorne Hat, Light Bluish Gray Beard",8
fig-009958,21,"Knight, Dark Blue, Helmet, White Beard",4
fig-009959,21,"Knight, Archer with Wide Brim Helmet, Quiver, Cheek Lines",5
fig-009960,21,"Knight, Dark Blue, Helmet, Goatee Beard and Printed Hair",4
fig-009961,8,"Knight, Gray, Armor, Helmet with Visor",6
fig-009962,33,"Knight, Dark Blue, Helmet, Cheek Lines",4
fig-009963,6,Troll Warrior 10 (Orc),5
fig-009964,6,Troll Warrior 7 with Cape (Orc),5
fig-009965,6,"Knight, Dark Blue, Helmet, Smile with Brown Eyebrows",4
fig-009966,6,"Knight, Dark Blue, Wide Brim Helmet, Beard",4
fig-009967,6,"Knight, Gray, Armor, Helmet with Visor, Cheek Lines",6
fig-009968,6,"Knight, Gray, Armor, Helmet with Grille, Goatee Beard",5
fig-009969,41,"Boy, Open Dark Azure Hoodie with Zipper, Short Red Legs, Red Ushanka Hat",4
fig-009970,41,"Girl, Open Dark Pink Jacket, Short Medium Blue Legs, Red Scarf, Black Hair",5
fig-009971,41,"Man, Red Apron over Bright Light Orange Jacket, Red Legs, Red Cap",4
fig-009972,41,"Man, Open Blue Jacket over Dark Red Shirt, Dark Blue Legs, Black Hair",4
fig-009973,41,"Man, Open Dark Blue Flannel Shirt over Top with Banana, Dark Bluish Gray Legs, Black Hair",4
fig-009974,41,"Man, Open Dark Red Jacket, Dark Tan Legs, Red Scarf, Black Hair, Glasses",5
fig-009975,41,"Man, Open Orange Jacket over Light Blue Shirt, Black Hair, Glasses",4
fig-009976,41,"Woman, Sand Blue Tunic, Light Bluish Gray Hair, Glasses",4
fig-009977,41,"Man, Blue Robe, Light Bluish Gray Hair, Glasses",4
fig-009978,41,"Man, Red Robe, Black Hair",4
fig-009979,41,"Woman, Open Black Jacket over Black and White Striped Top, Red Legs, Sand Blue Beanie Hat with Hair",4
fig-009980,41,"Woman, White and Blue Hoodie, Light Bluish Gray Legs, Black Hair",4
fig-009981,41,"Woman, Medium Nougat Jacket, Light Bluish Gray Legs, Black Hair",4
fig-009982,20,"Man, Red Robe with Gold Sash Belt, Red Bandanna, Glasses",4
fig-009983,20,"Man, Red Robe with Gold Sash Belt, Red Bandanna",4
fig-009984,20,"Man, Red Robe with Gold Sash Belt, Red Bandanna, Big Smile",4
fig-009985,20,"Man, Red Robe with Ties, Black Hair",4
fig-009986,20,"Man, Black Suit with Tie, Red Scarf, Light Bluish Gray Hair, Moustache and Glasses",5
fig-009987,20,"Man, Rat Costume Head, Red Robes with Black Sash Belt",4
fig-009988,20,"Woman, White Robes with Ties, Black Hair",4
fig-009989,20,"Woman, White Robes with Ties, White Legs, Black Hair",4
fig-009990,22,"Man, Pig Costume",4
fig-009991,22,"Man, Red Robe with Ties and Sash Belt, Red Head Wrap, Stern",4
fig-009992,22,"Man, Red Robe with Ties and Sash Belt, Red Head Wrap, Smile",4
fig-009993,22,"Man, Red Robe with Ties and Sash Belt, Black Hair with Red Headband, Smile",4
fig-009994,22,"Man, Red Robe with Ties and Sash Belt, Black Hair with Red Headband, Scared / Slight Smile",4
fig-009995,22,"Girl, Dark Pink Robe, Short White Legs, Black Hair",4
fig-009996,22,"Man, Dark Blue Robe with Ties, White Legs, Black Hair, Glasses",4
fig-009997,22,"Man, Reddish Brown Robe with Ties, Black Legs, Light Bluish Gray Hair, Glasses",4
fig-009998,22,"Woman, Red Robe with Ties, Black Legs, Light Bluish Gray Hair, Glasses",4
fig-009999,22,"Woman, Red Robe with Dress, Black Hair",4
fig-010000,22,"Boy, Gold Robes, Short Red Legs, Black Hair",4
fig-010001,26,"Man, Black Suit and Tie, Light Bluish Gray Hair, Moustache and Glasses",4
fig-010002,26,"Woman, Open Green Jacket with Necklace, Black Hair",4
fig-010003,26,"Boy, White and Blue Hoodie, Short Medium Blue Legs, Black Hair",4
fig-010004,26,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Sweat Drops",4
fig-010005,26,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Big Smile",4
fig-010006,26,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Clenched Teeth Smile",4
fig-010007,26,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Raised Eyebrow",4
fig-010008,26,"Man, Sand Blue Robe, Tan Conical Hat, Beard",4
fig-010009,26,"Man, Red Flannel Shirt, Blue Legs, Black Hair, Clenched Teeth Smile",4
fig-010010,26,"Racer, White and Orange Robe with Ties and Sash Belt, Black Hair, Raised Eyebrow",4
fig-010011,26,"Racer, White and Orange Robe with Ties and Sash Belt, Black Hair, Big Smile",4
fig-010012,26,"Racer, White and Orange Robe with Ties and Sash Belt, Black Hair, Slight Smile",4
fig-010013,26,"Racer, White and Orange Robe with Ties and Sash Belt, Black Hair, Clenched Teeth Smile",4
fig-010014,26,"Racer, White and Orange Robe with Ties and Sash Belt, Black Hair, Scared / Neutral",4
fig-010015,26,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Scared / Neutral",4
fig-010016,7,"Bride, White Brick Built Dress",10
fig-010017,7,"Groom, Black Tuxedo with Red Bow Tie and Cummerbund, Top Hat",4
fig-010019,2,"Santa, Coat and Belt, Plain Red Legs, Santa Hat (3626c Head)",5
fig-010020,1,"Mrs. Claus, White Corset with Red Sides, Apron with Candy Canes, Dark Green Dress",4
fig-010022,1,"Elf, Green Jacket, Red Hat with Ears",4
fig-010023,15,"Groom, Black Suit with Tie, Top Hat",4
fig-010024,15,"Bride, White Corset Dress",4
fig-010025,16,"Bride, White and Blue Corset Dress with Bow",4
fig-010026,16,"Groom, Black Suit with Lavender Bow Tie, Top Hat",4
fig-010027,22,"Man, Light Bluish Gray Vest over White Shirt, Black Legs, Light Bluish Gray Hair, Moustache and Glasses",4
fig-010028,22,"Man, Green V-Neck Sweater, Reddish Brown Legs, Black Hair, Beard",4
fig-010029,23,"Boy, Open Blue Jacket, Short Tan Legs, Dark Brown Hair",4
fig-010030,23,"Girl, Orange Top, Short Red Legs, Dark Red Hair",4
fig-010031,23,"LEGO Store Employee, LEGO Logo on Back, Dark Red Cap, Stubble",4
fig-010032,23,"LEGO Store Employee, LEGO Logo on Back, Reddish Brown Hair, Beard",4
fig-010033,23,"Man, Open Orange Jacket over Light Blue Shirt, Dark Blue Cap",4
fig-010034,23,"Man, Medium Blue Shirt with Palm Trees and Sunset, Tan Fedora, Beard",4
fig-010035,23,"Woman, Bright Pink Halter Top with Butterflies, White Legs, Reddish Brown Hair",4
fig-010036,23,"Woman, Dark Purple and Lavender Striped Top, Medium Azure Legs, Dark Orange Hair",4
fig-010037,16,Drone Boy,4
fig-010038,20,"Man, Dark Blue Suit, Black Hair, Glasses",4
fig-010039,20,"Ground Crew, Blue Suit, Light Bluish Gray Hair, Beard",4
fig-010040,20,"Ground Crew, Orange Overalls over Blue Sweater, Dark Orange Hair, Beard and Glasses",4
fig-010041,20,"Woman, Medium Blue Polo Shirt with Necklace, White Legs, Reddish Brown Hair",4
fig-010042,12,"Boy, Green V-Neck Sweater, Short Dark Blue Legs, Dark Orange Hair",4
fig-010043,12,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, Reddish Brown Legs, Reddish Brown Hair",4
fig-010044,12,"Man, Dark Blue Plaid Shirt, Blue Legs, Black Hat",4
fig-010045,21,Karzon,5
fig-010046,19,King Jayko,6
fig-010047,19,Lord Vladek,7
fig-010048,21,Sir Adric,6
fig-010049,14,"Rouge Knight, Sand Blue",5
fig-010050,13,"Rogue Knight, Yellow and Black",5
fig-010051,20,Sir Kentis,6
fig-010052,18,"Rogue Knight, Black and Yellow",5
fig-010053,18,"Rouge Knight, Black and Yellow, Black Helmet",5
fig-010054,18,"Rogue Knight, Yellow and Black, Speckle Black-Silver Helmet",5
fig-010055,18,"Rouge Knight, Yellow and Black, Black Helmet",5
fig-010056,22,"Rascus, Printed Torso",5
fig-010057,22,The Guardian,5
fig-010058,23,"Knight, Blue, Armor, Helmet with Visor and Blue Plume",7
fig-010059,17,"Knight, Blue, Helmet",4
fig-010060,18,"Knight, Blue, Printed Breastplate, Helmet",4
fig-010061,21,Gabriela Silva - Sand Green Scrubs,4
fig-010062,24,"Dragon Knight, Red, Armor, Helmet with Red Plume",6
fig-010063,15,"Dragon Knight, Red, Helmet, Beard",4
fig-010064,27,"Dragon Knight, Red, Helmet, Stubble",4
fig-010066,30,"King, Lion King",5
fig-010067,27,"Lion Knight, Helmet, Soul-patch",4
fig-010068,27,"Lion Knight, Helmet",4
fig-010069,27,Nobleman,4
fig-010070,27,"Queen, Lion Queen",5
fig-010071,27,Young Squire,4
fig-010072,27,"Lion Knight, Armour, Helmet with Grille and Red Plume",6
fig-010073,27,"Falcon Knight, Armor, Helmet with Dark Green Plume",6
fig-010074,8,"Dragon Knight, Dark Green, Helmet",4
fig-010075,8,"Dragon Knight, Archer, Dark Green, Wide Brim Helmet, Quiver",5
fig-010076,8,"Dragon Knight, Dark Green, Wide Brim Helmet",4
fig-010077,8,"Dragon Knight, Dark Green, Helmet with Dark Green Plume, Cape",6
fig-010078,8,"Dragon Knight, Dark Green, Armor, Helmet with Dark Green Plume",6
fig-010079,26,"Lion Knight, Archer, Helmet, Quiver",5
fig-010080,8,"Lion Knight, Helmet",4
fig-010081,15,"Lion Knight, Helmet with Grille and Red Plume",5
fig-010082,8,"Lion Knight, Helmet with Grille and Red Plume, Cape",6
fig-010083,12,"Dragon Knight, Dark Green, Pearl Dark Gray Helmet with Dark Green Plume",5
fig-010084,23,"Dragon Knight, Dark Green, Pearl Titanium Helmet, Angry",4
fig-010085,13,"Lion Knight, Helmet with Red Plume",5
fig-010086,13,"Lion Knight, Helmet, Scared / Smile",4
fig-010087,17,"Lion Knight, Wide Brim Helmet, Cheek Lines",4
fig-010088,17,"Lion Knight, Archer, Helmet, Quiver",5
fig-010089,15,"Dragon Knight, Dark Green, Wide Brim Helmet, Angry (Pearl Dark Gray)",4
fig-010090,19,"Dragon Knight, Dark Green, Helmet, Stern (Pearl Dark Gray)",4
fig-010091,21,"Lion Knight, Helmet, Beard",4
fig-010092,19,"Dragon Knight, Dark Green, Helmet with Dark Green Plume, Moustache and Stubble (Pearl Dark Gray)",5
fig-010093,19,"Lion Knight, Armour, Helmet with Red Plume (Flat Silver)",6
fig-010094,23,"Dragon Knight, Dark Green, Wide Brim Helmet, Moustache and Stubble (Pearl Dark Gray)",4
fig-010095,23,"Dragon Knight, Archer, Dark Green, Helmet, Quiver (Pearl Dark Gray)",5
fig-010096,23,"Dragon Knight, Black, Armor, Helmet with Dark Green Plume (Pearl Dark Gray)",6
fig-010097,25,"King, Lion King, Red Plume",7
fig-010098,25,"Lion Knight, Wide Brim Helmet, Beard",4
fig-010099,25,"Lion Knight, Archer, Helmet, Quiver, Stubble",5
fig-010100,21,"Dragon Knight, Archer, Dark Green, Wide Brim Helmet, Quiver, Goatee Beard",5
fig-010101,20,"Dragon Knight, Dark Green, Wide Brim Helmet, Gold Tooth",4
fig-010102,20,"Dragon Knight, Dark Green, Helmet, Angry",4
fig-010103,20,"Lion Knight, Wide Brim Helmet, Cheek Lines / Scared",4
fig-010104,15,"Dragon Knight, Archer, Dark Green, Wide Brim Helmet, Missing Tooth",5
fig-010105,15,"Lion Knight, Helmet, Stubble and Scar",4
fig-010106,15,"Lion Knight, Wide Brim Helmet, Soul-patch",4
fig-010107,15,"Dragon Knight, Black, Armor, Helmet with Dark Green Plume, Goatee Beard",7
fig-010108,23,"Dragon Knight, Red, Helmet, Red Beard",4
fig-010109,23,"Knight, Blue, Helmet",4
fig-010110,24,"Knight, Archer, Blue, Wide Brim Helmet, Quiver",5
fig-010111,23,"King, Dark Blue, Crown, Cape",5
fig-010112,23,"Knight, Blue, Armor, Helmet with Visor and Blue Plume, Beard",7
fig-010113,22,"Knight, Blue, Helmet",4
fig-010114,22,"Dragon Knight, Red, Helmet, Soul-patch",4
fig-010115,15,"Knight, Blue, Wide Brim Helmet",4
fig-010116,15,"Knight, Blue, Armor, Helmet with Grille and Blue Plume",6
fig-010117,15,"Dragon Knight, Red, Helmet, Black Beard",4
fig-010118,15,"Knight, Blue, Wide Brim Helmet, Cheek Lines",4
fig-010119,16,"Knight, Blue, Wide Brim Helmet",4
fig-010120,18,"Dragon Knight, Red, Helmet, Red Beard",4
fig-010121,24,"Pirate Captain, Blue Jacket, Peg Leg, Bicorne Hat with White Plume",6
fig-010122,24,"Pirate, Open Blue Vest over Red and White Striped Shirt, Black Tricorne Hat",4
fig-010123,24,"Pirate, Red and White Striped Shirt, Red Bandanna",4
fig-010124,21,"Astronaut, Flat Silver, White Helmet with Visor",5
fig-010125,14,"Doctor - White Torso and Legs, Black Hair Female (3626c Head)",4
fig-010126,14,"Pirate - Blue Torso, White Legs, Black Hat (3626c Head)",4
fig-010127,14,"Blacktron I - Black Torso, Black Legs, Black Helmet, Black Tank (3626c Head)",6
fig-010128,22,"Medium Nougat Torso, Dark Green Legs, Dark Brown Hair",4
fig-010129,22,"Sand Blue Torso, Dark Blue Legs, Dark Brown Hair",4
fig-010130,11,"Red Torso, Dark Blue Overall, Dark Blue Cap",4
fig-010131,11,"Dark Blue Torso, Dark Tan Legs, Dark Brown Hair",4
fig-010132,2,"Woman - White Torso, Dark Blue Legs, Dark Brown Hair - Pleasanton",4
fig-010133,2,"White Torso, Blue Overall, Dark Tan Hair - Pleasanton",4
fig-010134,2,"Pirate - Black Torso, Black Leg, Peg Leg - Pleasanton",4
fig-010135,0,"Bright Pink Torso, White Legs, Bright Light Yellow Hair",4
fig-010136,0,"Blue Torso, Reddish Brown Legs, Red Cap",4
fig-010137,0,"White Torso, White Legs, Reddish Brown Hair",4
fig-010138,2,"Kid - Yellow Torso, Dark Blue Legs, Reddish Brown Hair",4
fig-010139,2,"Blue Torso, Tan Legs, Bright Light Yellow Hair",4
fig-010140,2,"White Torso, Red Legs, Red Cap",4
fig-010141,3,"Orange Torso, Orange Legs, Reddish Brown Hair - Alpharetta",4
fig-010142,3,"Pirate - Black Torso, Black Leg, Peg Leg - Alpharetta",4
fig-010143,3,"Dark Blue Torso, Tan Legs, Dark Orange Hair - Alpharetta",4
fig-010144,3,"White Torso, Blue Legs, Bright Light Yellow Hair",4
fig-010145,3,"Black Torso, Light Bluish Grey Legs, Dark Bluish Grey Hair",4
fig-010146,3,"Red Torso, Green Overall",3
fig-010147,2,"Knight - Light Bluish Grey Armour, Helmet - Houston",4
fig-010148,2,"Blue Torso, Blue Legs, Blue Cap - Houston",4
fig-010149,2,"Dark Blue Torso, Tan Legs, Dark Orange Hair - Houston",4
fig-010150,4,"White Torso, Light Bluish Grey Legs, Bright Light Yellow Hair",4
fig-010151,4,"Light Bluish Grey Torso, Black Legs, Dark Brown Hair",4
fig-010152,4,"White Torso, White Legs, Medium Nougat Hair",4
fig-010153,2,"Sand Green Torso, Sand Green Slope For Dress, Reddish Brown Hair",4
fig-010154,2,"Kid - Dark Tan Torso, Reddish Brown Legs, Dark Brown Hood",4
fig-010155,0,"Black Torso, Black Legs, Dark Brown Hair",4
fig-010156,0,"Black Torso, Black Legs, Dark Orange Hair",4
fig-010157,0,"Black Torso, Black Legs, Dark Tan Hair",4
fig-010158,2,"White Torso, Red Legs, Reddish Brown Hair - LoneTree",4
fig-010159,2,"Green Torso, Light Bluish Grey Legs, Dark Orange Hair - LoneTree",4
fig-010160,2,"Dark Blue Torso, Orange Legs, Red Cap - LoneTree",4
fig-010161,0,"White Torso, Blue Legs, Lime Cap",4
fig-010162,0,"Dark Blue Torso, Green Legs, Dark Tan Hair",4
fig-010163,0,"White Torso, Dark BLue Legs, Dark Orange Hair",4
fig-010164,2,"Orange Torso, Orange Legs, Reddish Brown Hair - Mission Viejo",4
fig-010165,2,"White Torso, Green Legs, Lime Cap - Mission Viejo",4
fig-010166,2,"Orange Torso, Blue Legs, Yellow Hat - Mission Viejo",4
fig-010167,3,"Dark Blue Torso, Dark Tan Legs, Dark Bluish Grey Cap",4
fig-010168,3,"White Torso, Dark Blue Legs, Dark Brown Hair - Nashville",4
fig-010169,3,"White Torso, Green Legs, Lime Cap - Nashville",4
fig-010170,3,"Pirate - Black Torso, Black Leg, Peg Leg - Nashville",4
fig-010171,2,"Orange Torso, Orange Legs, Reddish Brown Hair - Overland Park",4
fig-010172,2,"Chef - White Torso, White Legs - Overland Park",4
fig-010173,2,"Blue Torso, Blue Legs, Blue Cap - Overland Park",4
fig-010174,2,"Orange Torso, Orange Legs, Tan Hair",4
fig-010175,2,"Black Torso, Black Legs, Dark Brown Hair",4
fig-010176,2,"Chef - White Torso, White Legs, White Hat, Grey beard",4
fig-010177,3,"White Torso, Dark BLue Legs, Dark Brown Hair - SanDiego",4
fig-010178,3,"White Torso, Blue Legs, Red Cap - SanDiego",4
fig-010179,3,"Dark Blue Torso, Tan Legs, Dark Orange Hair - SanDiego",4
fig-010180,2,"White Torso, Orange Legs, Dark Brown Hair",4
fig-010181,2,"White Torso, Blue Legs, Dark Tan Hair",4
fig-010182,2,"White Torso, Dark Blue Legs, Dark Orange Hair",4
fig-010183,2,"White Torso, Dark BLue Legs, Dark Brown Hair",4
fig-010184,2,"Chef - White Torso, White Legs, White Hat",4
fig-010185,1,"Orange Torso, Blue Legs, Yellow Hat, Grey Beard",4
fig-010186,1,"Blue Torso, Legs, and Cap, Orange Sunglasses",4
fig-010187,3,"Orange Torso, Orange Legs, Reddish Brown Hair - Sunrise",4
fig-010188,3,"Knight - Light Bluish Grey Armour, Helmet - Sunrise",4
fig-010189,3,"Blue Torso, Blue Legs, Blue Cap - Sunrise",4
fig-010190,3,"Orange Torso, Orange Legs, Reddish Brown Hair - Toronto",4
fig-010191,3,"Black Torso, Black Legs, Dark Brown Hair - Toronto",4
