fig_num,num_distinct_colors,fig_name,num_parts
fig-000358,4,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Black Visor, Sunglasses",5
fig-000359,23,Johnny Thunder (Desert),4
fig-000360,6,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Trans-Light Blue Visor, Sunglasses",5
fig-000361,5,"Astronaut, White, Blue Cap, Headset",4
fig-000362,15,"Ninja, Dark Gray",4
fig-000363,7,"Racer, White Jacket with 2 Stars, Black Helmet with Visor, Sunglasses",6
fig-000364,9,"Santa, Plain Red with White Hips",5
fig-000365,11,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Moustache and Stubble",4
fig-000366,2,Gladiator,4
fig-000367,11,"Racer, White Shirt with Shell Logo, Black Legs, Red Helmet with Visor",5
fig-000368,38,Ghost Ninja Attila / Ming / Spyder,4
fig-000369,15,Mr. Cunningham,4
fig-000370,5,"Racer, Woman, Green and White Outfit with Crocodile, Green Helmet with Visor",5
fig-000371,5,"Racer, Red and White Outfit with Scorpion, Red Helmet with Visor",5
fig-000372,9,"Bandit, Black Hard Hat",4
fig-000373,7,"Classic Spaceman, Blue with Airtanks (3842a Helmet)",5
fig-000374,14,"Santa, Plain Red with Black Hips",5
fig-000375,17,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Glasses",4
fig-000376,22,"Cameraman - Blue Legs, Blue Cap",4
fig-000377,5,Stunt Driver,5
fig-000378,3,Battle Goddess,6
fig-000379,8,"LEGOLAND Blue Torso, Red Legs, Black Hat",4
fig-000380,17,"Man, Dark Azure Shirt, Dark Tan Legs, Dark Bluish Gray Hat, Red Backpack",5
fig-000381,9,"Soccer Player White Torso, Blue Legs #11",4
fig-000382,16,"Pirate - Blue Jacket, Light Gray Legs, Black Tricorne",4
fig-000383,12,"Pirate - Red Stripes, Blue Legs, Red Bandana, 3626a",4
fig-000384,6,"Man, White Torso with Shell Logo, Red Legs, Red Hat",4
fig-000385,8,"Man, Plain Red, Red Hat",4
fig-000386,12,"Racer, White Jacket with Zipper, White Helmet with Visor (3626b Head)",5
fig-000387,6,"Man, Red Jacket with Zipper, Red Legs, Black Helmet",4
fig-000388,7,"Knight (Scale Mail on Red) - Red Arms, Black Legs, Dark Gray Neck-Protector",4
fig-000389,11,"Racer, Black Jacket with Zipper, Black Helmet with Visor (3626a Head)",5
fig-000390,5,"Knight (Scale Mail on Blue) - Black Arms, Blue Legs, Dark Gray Neck-Protector",4
fig-000391,5,"Racer, White Jacket with Zipper, White Helmet with Visor (3626a Head)",5
fig-000392,21,"Olivia - Dark Pink Top, Dark Blue Skirt",4
fig-000393,25,"White Torso with Flowers, Orange Legs, Black Ponytail (3626b Head)",4
fig-000394,10,"Man, Blue Shirt with Buttons and Pockets, Blue Legs, Blue Cap (3626b Head)",4
fig-000395,4,"Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair, Yellow Life Vest",5
fig-000396,11,"Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor",5
fig-000397,5,"Santa, Plain Red with Light Gray Legs, and Back Basket",6
fig-000398,10,"Man, White Tank Top with Windsurfer, Yellow Legs, Brown Hair, Yellow Life Vest, Moustache",5
fig-000399,4,"Man, Green Jacket, White Legs, Blue Cap, Yellow Life Vest, Blue Sunglasses",5
fig-000400,16,Officer (Imperial Guard) - Yellow Epaulettes,5
fig-000401,4,"Blue Torso, White Legs, Red Cap",4
fig-000402,11,"Man, Dark Blue Plaid Shirt, Dark Blue Legs, Red Cap, Silver Sunglasses",4
fig-000403,5,"Man - Green Torso, Red Legs, Red Cap",4
fig-000404,7,"Pirate - Blue Stripes, Black Legs, Black Tricorne",4
fig-000405,15,"Racer, Blue Jacket with Zipper, Blue Helmet with Visor",5
fig-000406,9,Blacktron I (3626a Head),6
fig-000407,10,"Knight (Scale Mail on Red) - Black Arms, Black Legs, Black Neck-Protector",4
fig-000408,18,"Troll King, Metallic Copper Crown",5
fig-000409,6,"Man, Green Jacket, Green Legs, Black Hair, Yellow Life Vest, Sunglasses",5
