fig_num,fig_name,num_parts,age_group_heuristic
fig-009722,"Man, Medium Blue Shirt with Octan Logo, Dark Blue Legs, Dark Blue Cap, Goatee Beard",4,Adult-coded
fig-009723,"Man, Open Dark Azure Hawaiian Shirt, Dark Tan Legs, Black Hair",4,Adult-coded
fig-009724,"Woman, Lime Hoodie, Blue Legs, Black Hair",4,Adult-coded
fig-009725,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Stubble",7,Adult-coded
fig-009726,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Helmet with Visor, Sunglasses",5,Adult-coded
fig-009727,"Volcano Explorer, Woman, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks",7,Adult-coded
fig-009728,"Volcano Explorer, Woman, Olive Green Shirt with Rope, White Hard Hat with Hair",4,Adult-coded
fig-009729,"Volcano Explorer, Man, Flat Silver Hazmat Suit",4,Adult-coded
fig-009730,"Volcano Explorer, Man, Olive Green Shirt, White Hard Hat with Ear Defenders, Beard",4,Adult-coded
fig-009731,"Volcano Explorer Scientist, Woman, Open White Lab Coat, Sand Blue Legs, White Hard Hat with Hair",4,Adult-coded
fig-009732,"Volcano Explorer, Man, Olive Green Shirt, Sand Blue Legs, Dark Tan Wide Brim Hat",4,Adult-coded
fig-009733,"Volcano Explorer, Man, Olive Green Shirt, Sand Blue Legs, Dark Tan Cap, Beard",4,Adult-coded
fig-009734,"Volcano Explorer Scientist, Woman, Open White Lab Coat, Sand Blue Legs, Reddish Brown Hair, Glasses",4,Adult-coded
fig-009735,"Diver, Man, Red and Dark Blue Wetsuit with Straps and Gauges, Red Diving Helmet, Airtanks",5,Adult-coded
fig-009736,"Diver, Man, Dark Blue and Orange Wetsuit, Dark Blue Diving Helmet with Visor",5,Adult-coded
fig-009737,"Diver, Man, Red and Dark Blue Wetsuit with Straps and Gauges, Red Diving Helmet, Airtanks, Stubble",5,Adult-coded
fig-009738,"Diver, Woman, Red and Dark Blue Wetsuit with Straps and Gauges, Red Diving Helmet, Airtanks, Open Mouth",5,Adult-coded
fig-009739,"Marine Scientist, Woman, Open White Lab Coat, Sand Blue Legs, Medium Nougat Hair, Glasses",4,Adult-coded
fig-009740,"Marine Explorer, Sand Blue Jumpsuit, Red Cap, Headset",4,Unspecified
fig-009741,"Marine Explorer, Dark Red Jacket, Dark Blue Cap, Sweat Drops",4,Unspecified
fig-009742,"Diver, Man, Dark Blue and Orange Wetsuit, Dark Blue Diving Helmet with Flashlights and Visor, Glasses",9,Adult-coded
fig-009743,"Diver, Woman, Dark Blue and Orange Wetsuit, Dark Blue Diving Helmet with Flashlights and Visor",9,Adult-coded
fig-009744,Jessica Sharpe,4,Unspecified
fig-009745,"Marine Explorer, Sand Blue Jumpsuit, Red Cap",4,Unspecified
fig-009746,"Diver, Woman, Black and Red Wetsuit with Gauges, Red Helmet with Mask",6,Adult-coded
fig-009747,"Marine Explorer, Open Red Jacket over Dark Red Sweater, Red Cap, Stubble",4,Unspecified
fig-009748,"Marine Explorer, Woman, Open Red Jacket over Dark Red Sweater, Dark Orange Hair",4,Adult-coded
fig-009749,"Pilot, Blue Jacket with Zipper and Wings Badge, Dark Blue Cap, Silver Sunglasses",4,Unspecified
fig-009750,"Diver, Man, Orange Wetsuit, Diving Helmet with Visor, Beard",5,Adult-coded
fig-009751,"Ship Captain, Open Blue Jacket with Anchor over Dark Red Sweater, Tan Legs, Dark Blue Hat, Goatee Beard",4,Unspecified
fig-009752,"Marine Explorer, Open Red Jacket over Dark Red Sweater, Dark Red Hat, Stubble",4,Unspecified
fig-009753,"Diver, Woman, Black and Red Wetsuit with Gauges, Red Helmet with Mask",6,Adult-coded
fig-009754,"Diver, Man, Black and Red Wetsuit with Gauges, Red Helmet with Mask",6,Adult-coded
fig-009755,"Diver Adam, Black and Red Wetsuit with Gauges, Red Helmet with Mask",6,Unspecified
fig-009756,"Diver, Woman, Black and Red Wetsuit with Gauges, Red Helmet with Mask",6,Adult-coded
fig-009757,"Marine Explorer, Woman, Open Red Jacket over Dark Red Sweater, Reddish Brown Hair, Glasses",4,Adult-coded
fig-009758,"Harl Hubbs, Dark Red Jacket, Sand Blue Legs, Reddish Brown Hair, Orange Life Vest",5,Unspecified
fig-009759,"Marine Explorer, Dark Red Jacket, Sand Blue Legs, Dark Blue Hat, Orange Life Vest",5,Unspecified
fig-009760,"Marine Explorer, Open Dark Red Jacket, Dark Blue Legs, White Helmet with Visor, Stubble",5,Unspecified
fig-009761,"Marine Explorer, Dark Blue Shirt, Dark Bluish Gray Legs, Dark Blue Cap, Orange Life Vest",5,Unspecified
fig-009762,"Diver, Woman, Dark Blue and Orange Wetsuit, Dark Blue Diving Helmet with Visor",5,Adult-coded
fig-009763,"Diver, Woman, Red and Dark Blue Wetsuit with Straps and Gauges, Red Diving Helmet, Airtanks",5,Adult-coded
fig-009764,"Diver, Man, Red and Dark Blue Wetsuit with Straps and Gauges, Red Diving Helmet, Airtanks, Beard",5,Adult-coded
fig-009765,"Marine Explorer, Woman, Sand Blue Jumpsuit, Black Hair",4,Adult-coded
fig-009766,"Racer, Red and Orange Jumpsuit, Black Helmet with Visor",5,Unspecified
fig-009767,"Racer, Red and Orange Jumpsuit, Red Cap, Goatee Beard and Safety Glasses",4,Unspecified
fig-009768,"Racer, Red and Orange Jumpsuit, Red Cap with Ear Defenders, Sunglasses",5,Unspecified
fig-009769,"Man, Open Orange Shirt, Blue Legs, Dark Orange Hair",4,Adult-coded
fig-009770,"Woman, Medium Blue Polo Shirt with Necklace, Light Bluish Gray Legs, Black Hair",4,Adult-coded
fig-009771,"Man, White Tank Top with Windsurfer, Blue Legs, Blue Cap, Silver Sunglasses",5,Adult-coded
fig-009772,"Man, Black Wetsuit, Dark Orange Hair, Yellow Life Vest",5,Adult-coded
fig-009773,"Lumberjack, Dark Red Flannel Shirt, Red Cap, Beard",4,Unspecified
fig-009774,"Lumberjack, Dark Blue Plaid Shirt, Sand Blue Legs, Red Cap with Ear Defenders, Orange Safety Glasses",5,Unspecified
fig-009775,"Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Brown Goatee Beard",4,Adult-coded
fig-009776,"Ground Crew, Woman, Orange Safety Vest, Dark Orange Hair",4,Adult-coded
fig-009777,"Test Pilot, White Astronaut Suit, White Helmet with Visor",5,Unspecified
fig-009778,"Boy, Open Dark Azure Hoodie with Zipper, Short Dark Tan Legs, Bright Light Yellow Hair",4,Child-coded
fig-009779,"Boy, Classic Spaceman on Shirt, Short Dark Blue Legs, Blue Cap",4,Child-coded
fig-009780,"Woman, Dark Blue Suit, Reddish Brown Hair, Glasses",4,Adult-coded
fig-009781,"Man, Black and Lime Jacket, White Helmet",4,Adult-coded
fig-009782,"Woman, Light Bluish Gray Overalls with Paint Stains, Medium Nougat Hair",4,Adult-coded
fig-009783,"Man, Red Flannel Shirt, Blue Legs, Black Hair, Beard",4,Adult-coded
fig-009784,"Girl, Bright Pink Striped Top with Cat Head, Short Dark Azure Legs, Dark Tan Hair, Glasses",4,Child-coded
fig-009785,"Girl, Open Bright Light Blue Hoodie over Dark Purple Shirt with Star, Short Medium Lavender Legs, Bright Light Yellow Hair",4,Child-coded
fig-009786,"Chef, Red Neckerchief, Dark Tan Legs, Butchers Hat",4,Unspecified
fig-009787,"Man, Medium Nougat Argyle Sweater, Reddish Brown Legs, Moustache and Glasses",4,Adult-coded
fig-009788,"Woman, Bright Light Blue Cardigan, Tan Legs, White Hair, Glasses",4,Adult-coded
fig-009789,"Woman, Green Overalls over Red Plaid Shirt, Dark Brown Hair",4,Adult-coded
fig-009790,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Blue Legs, Beanie Hat",4,Adult-coded
fig-009791,"Woman, Open Medium Lavender Shirt over Lavender Top, Medium Blue Legs, Dark Orange Hair",4,Adult-coded
fig-009792,"Boy, Classic Spaceman on Shirt, Short Light Bluish Gray Legs, Blue Cap with Propeller",5,Child-coded
fig-009793,"Boy, White Top, Short Dark Azure Legs, Dark Orange Hair",4,Child-coded
fig-009794,"Man, Dark Blue Plaid Shirt, Olive Legs, Black Hair, Stubble",4,Adult-coded
fig-009795,"Woman, Light Bluish Gray Overalls with Paint Stains, Medium Nougat Hair, Glasses",4,Adult-coded
fig-009796,Nate,4,Unspecified
fig-009797,"Girl, Lime Hoodie, Short Green Legs, Tiger Facepaint",4,Child-coded
fig-009798,"Girl, White and Red Striped Top, Short Medium Lavender Legs, Black Hair",4,Child-coded
fig-009799,"Man, Red Jogging Suit, Light Bluish Gray Hair",4,Adult-coded
fig-009800,"Woman, Dark Purple Jogging Suit, White Hair, Small Glasses",4,Adult-coded
fig-009801,"Woman, White and Dark Turquoise Striped Shirt, Dark Pink Legs, White with Hair",4,Adult-coded
fig-009802,"Woman, Bright Pink Top, White Legs, Black Hair",4,Adult-coded
fig-009803,Stilt Walker,6,Unspecified
fig-009804,"Man, Medium Blue Jacket, Dark Blue Legs, Dark Brown Hair",4,Adult-coded
fig-009805,"Woman, Open Black Jacket over Black and White Striped Top, Dark Blue Legs, Reddish Brown Hair",4,Adult-coded
fig-009806,"Construction Worker, Orange Overalls over Blue Sweater, Blue Cap",4,Unspecified
fig-009807,"Worker, Blue Jacket with Orange Stripes, Sand Blue Legs, Blue Cap, Beard",4,Unspecified
fig-009808,"Woman, Black Wetsuit, Dark Brown Hair, Yellow Life Vest, Safety Glasses",5,Adult-coded
fig-009809,"Man, Black and Lime Jacket, Blue Cap, Yellow Life Vest",5,Adult-coded
fig-009810,"Man, Blue Overalls over White V-Neck Shirt, Dark Blue Cap, Moustache",4,Adult-coded
fig-009811,"Lifeguard, White Polo Shirt with Whistle, Red Legs, Tan Hair, Sunglasses",4,Unspecified
fig-009812,"Man, Shirtless, Blue Swim Trunks, Medium Nougat Hair, Sunglasses",4,Adult-coded
fig-009813,"Boy, Lime Hoodie, Short Blue Legs, Black Hair",4,Child-coded
fig-009814,"Boy, White and Dark Red Basketball Jersey with '39', Dark Red Shorts, Red Cap",4,Child-coded
fig-009815,"Girl, Bright Pink Top with Butterflies, Dark Purple Legs, Reddish Brown Hair, Glasses",4,Child-coded
fig-009816,"Girl, White Top with Lime and Green Pattern, Green Shorts, Dark Orange Hair",4,Child-coded
fig-009817,"Woman, Red and White Swimsuit, Light Bluish Gray Hair, Glasses",4,Adult-coded
fig-009818,"Man, Open Dark Azure Hawaiian Shirt, Dark Blue Legs, Light Bluish Gray Hair, Glasses",4,Adult-coded
fig-009819,"Woman, Green Bikini Top with White Spots, Green Shorts, Dark Brown Hair, Sunglasses",4,Adult-coded
fig-009820,"Woman, Red Swimsuit, Reddish Brown Hair, Safety Glasses",4,Adult-coded
fig-009821,"Diver, Man, Red and Black Wetsuit with Straps and Gauges, Red Helmet with Mask",5,Adult-coded
fig-009822,"Woman, White and Dark Azure Striped Tank Top with Red Neckerchief, Red Legs, Dark Orange Hair",4,Adult-coded
fig-009823,"Surfer, Woman, Black Wetsuit, Bright Light Yellow Hair, Yellow Life Vest",5,Adult-coded
fig-009824,"Man, Black and Lime Wetsuit, Dark Tan Hair, Yellow Life Vest, Orange Safety Glasses",5,Adult-coded
fig-009825,"Woman, Dark Azure Ski Jacket, Orange Legs, Dark Azure Helmet, Snow Goggles",4,Adult-coded
fig-009826,"Worker, Orange Safety Jacket over Hoodie, Blue Legs, Black Hat, Moustache",4,Unspecified
fig-009827,"Boy, Dark Purple Jacket, Short Dark Bluish Gray Legs, Dark Azure Beanie Hat",4,Child-coded
fig-009828,"Pilot, Dark Tan Vest with Zippers and Pouches, Black Legs, White Helmet with Visor, Sunglasses",5,Unspecified
fig-009829,"Woman, Dark Tan Cardigan with Zipper, Dark Green Legs, Bright Light Yellow Hair, Glasses",5,Adult-coded
fig-009830,"Paramedic, Woman, Red Jacket with Star of Life, Dark Blue Cap with Hair",4,Adult-coded
fig-009831,"Man, Open Green Jacket, Dark Tan Legs, Black Hair",4,Adult-coded
fig-009832,"Man, Bright Light Blue Letterman Jacket, Dark Blue Legs, Light Bluish Gray Helmet",4,Adult-coded
fig-009833,"Woman, Bright Light Blue Hoodie, Dark Bluish Gray Legs, Medium Azure Helmet with Hair and Snow Goggles",5,Adult-coded
fig-009834,"Paramedic, Woman, Red Jacket with Star of Life, Dark Blue Dirt Bike Helmet with Snow Goggles, Printed Snow Goggles",5,Adult-coded
fig-009835,"Paramedic, Red Jacket with Star of Life, Dark Blue Dirt Bike Helmet with Snow Goggles, Printed Snow Goggles",5,Unspecified
fig-009836,"Boy, Dark Tan Vest with Zippers and Pouches, Short Dark Blue Legs, Dark Tan Cap",4,Child-coded
fig-009837,"Woman, Open Medium Lavender over Lavender Shirt, Dark Tan Legs, Dark Orange Hair",4,Adult-coded
fig-009838,"Man, Red Flannel Shirt, Medium Blue Legs, Black Hair, Beard",4,Adult-coded
fig-009839,"Baby, Yellowish Green Body",2,Child-coded
fig-009840,"Racer, Woman, White, Black and Red Jacket, Red Legs, Dark Blue Dirt Bike Helmet with Goggles, Dirt Stains",5,Adult-coded
fig-009841,"Man, Orange Tank Top with 'SPORT', Dark Orange Legs with Straps, White Helmet, Orange Safety Glasses",4,Adult-coded
fig-009842,"Man, Open Dark Red Jacket, Dark Tan Legs, Dark Azure Helmet, Orange Life Vest, Beard",5,Adult-coded
fig-009843,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Brown Legs, Dark Azure Helmet, Orange Life Vest",5,Adult-coded
fig-009844,"Woman, Medium Nougat Jacket, Sand Blue Legs, Dark Brown Hair",4,Adult-coded
fig-009845,"Man, Open Green Jacket, Black Legs, Medium Nougat Hair",4,Adult-coded
fig-009846,"Man, Medium Blue Shirt with Palm Trees and Sunset, Tan Legs, Dark Brown Hair, Moustache",4,Adult-coded
fig-009847,"Girl, Bright Pink Striped Top with Cat Head, Dark Azure Shorts, Medium Nougat Hair",4,Child-coded
fig-009848,"Girl, Dark Purple Jacket, Short Black Legs, Bright Light Yellow Hair",4,Child-coded
fig-009849,"Woman, Bright Pink Top, Dark Tan Legs, Reddish Brown Hair",4,Adult-coded
fig-009850,"Man, Dark Tan Vest with Zippers and Pouches, Black Hair, Baby Carrier, Stubble",5,Child-coded
fig-009851,"Boy, Tan Shirt, Short Medium Nougat Legs, Reddish Brown Hair, Backpack, Glasses",5,Child-coded
fig-009852,"Woman, Dark Pink Jacket, Dark Blue Legs, Light Bluish Gray Hair",4,Adult-coded
fig-009853,"Woman, Open Bright Light Blue Hoodie over Dark Purple Shirt with Star, Blue Legs, Dark Orange Hair",4,Adult-coded
fig-009854,"Worker, Woman, Blue Jacket with Orange Stripes, Dark Azure Legs, Reddish Brown Hair",4,Adult-coded
fig-009855,"Worker, Blue Jacket with Orange Stripes, Medium Blue Legs, Blue Cap, Goatee Beard",4,Unspecified
fig-009856,"Racer, Woman, White and Red Jumpsuit, Tan Hair, Safety Glasses",4,Adult-coded
fig-009857,"Racer, White and Red Jumpsuit, Red Helmet with Visor, Sunglasses",6,Unspecified
fig-009858,"Woman, Blue and White Stripe Shirt with Red Bow Tie, Red Legs, Bright Light Yellow Hair",4,Adult-coded
fig-009859,"Man, Lime Hoodie, Blue Legs, Dark Azure Helmet",4,Adult-coded
fig-009860,"Barista, Woman, White Torso, Reddish Brown Apron, Medium Nougat Hair",4,Adult-coded
fig-009861,"Barista, Man, White Torso, Reddish Brown Apron, Black Hair",4,Adult-coded
fig-009862,"Boy, Floating Classic Spaceman on Shirt, Short Blue Legs, Reddish Brown Hair",4,Child-coded
fig-009863,"Man, Dark Blue Letterman Shirt with 'NH', Sand Blue Legs, Dark Blue Cap, Stubble",4,Adult-coded
fig-009864,"Woman, Red Jacket, Black Legs, Reddish Brown Hair",4,Adult-coded
fig-009865,"Man, Open Dark Red Jacket, Dark Blue Legs, Dark Red Cap, Moustache",4,Adult-coded
fig-009866,"Woman, Bright Pink Top, Blue Legs, Bright Light Yellow Hair",4,Adult-coded
fig-009867,"Construction Worker, Blue Jacket, Olive Green Legs, White Hard Hat, Moustache",4,Unspecified
fig-009868,"Man, Medium Blue Shirt with Octan Logo, White Legs, Blue Cap, Goatee Beard",4,Adult-coded
fig-009869,"Woman, Blue Overalls over Shirt, Dark Orange Hair, Dirt Stains",4,Adult-coded
fig-009870,"Man, Light Bluish Gray Hoodie over Dark Red Shirt, Dark Bluish Gray Legs, Bright Light Yellow Hair, Silver Sunglasses",4,Adult-coded
fig-009871,"Jack Davids, Red Jacket with Backwards Red Cap",4,Unspecified
fig-009872,Shadow Walker with Helmet,5,Unspecified
fig-009873,Nehmaar Reem,7,Unspecified
fig-009874,Vaughn Geist,5,Unspecified
fig-009875,"Parker L. Jackson, Black Top, Medium Lavender Hair with Headphones",4,Unspecified
fig-009876,Shadow Walker with Hood,4,Unspecified
fig-009877,Teevee,5,Unspecified
fig-009878,Rami,4,Unspecified
fig-009879,"Douglas Elton / El Fuego, Skeleton with Red Helmet and Cape",8,Unspecified
fig-009880,Nate Lockem,4,Unspecified
fig-009881,Shadow Walker with Helmet and Wings,5,Unspecified
fig-009882,"Vaughn Geist, Angry",5,Unspecified
fig-009883,"Parker L. Jackson, Black Top, Medium Lavender Hair with Headphones",4,Unspecified
fig-009884,Statue of Evil,4,Unspecified
fig-009885,"Chess Queen, Dark Green",5,Unspecified
fig-009886,"Knight, Armour with Chain, Helmet",5,Unspecified
fig-009887,"Knight, Dark Green, Wide Brim Helmet",4,Unspecified
fig-009888,"Dragon Knight, Black, Helmet with Dark Green Plume",5,Unspecified
fig-009889,"Jester, Red and White, Quiver",5,Unspecified
fig-009890,"Chess King, Red, Cape, Gold Crown with Red Plume",6,Unspecified
fig-009891,"Chess Queen, Red Dress, Gold Crown",5,Unspecified
fig-009892,"Knight, Red, Silver Armor, Helmet with Red Plume",6,Unspecified
fig-009893,"Knight, Red, Wide Brim Helmet",4,Unspecified
fig-009894,"Troll, Sand Green (Big Fig)",12,Unspecified
fig-009895,"King, Gold Armor and Crown",5,Unspecified
fig-009896,"Knight, Archer with Metallic Silver Helmet, Light Bluish Grey Legs, and Quiver",5,Unspecified
fig-009897,"Knight, Archer with Metallic Silver Helmet, and Quiver, Cheek Lines",5,Unspecified
fig-009898,"Knight, Armor, Wide Brim Helmet",5,Unspecified
fig-009899,"Dwarf, Black Beard, Copper Helmet",5,Unspecified
fig-009900,"Dwarf, Black Beard, Metallic Silver Helmet",5,Unspecified
fig-009901,"Dwarf, Dark Brown Beard, Copper Helmet",5,Unspecified
fig-009902,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5,Unspecified
fig-009903,"Dwarf, Dark Brown Beard, Metallic Silver Helmet",5,Unspecified
fig-009904,"Dwarf, Dark Orange Beard, Copper Helmet",5,Unspecified
fig-009905,"Dwarf, Dark Orange Beard, Metallic Gold Winged Helmet",5,Unspecified
fig-009906,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5,Unspecified
fig-009907,"Skeleton Warrior Grimhelma, Speckle Black-Silver Armor and Helmet",5,Unspecified
fig-009908,Troll Warrior 1 (Orc),4,Unspecified
fig-009909,Troll Warrior 3 with Shoulder Armor (Orc),5,Unspecified
fig-009910,Troll Warrior 7 (Orc),4,Unspecified
fig-009911,Troll Warrior 8 (Orc),4,Unspecified
fig-009912,Troll Warrior 9 (Orc),5,Unspecified
fig-009913,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5,Unspecified
fig-009914,"Dwarf, Dark Orange Beard, Copper Helmet",5,Unspecified
fig-009915,"Dwarf, Dark Brown Beard, Metallic Silver Winged Helmet",5,Unspecified
fig-009916,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5,Unspecified
fig-009917,"Dwarf, Black Beard, Copper Helmet",5,Unspecified
fig-009918,"Troll, Dark Tan with Tattoos (Big Fig)",10,Unspecified
fig-009919,"Troll, Sand Green with Tattoos (Big Fig)",10,Unspecified
fig-009920,"King Brutus, Dark Blue, Gold Armor and Crown",5,Unspecified
fig-009921,"Knight, Dark Blue, Wide Brim Helmet",4,Unspecified
fig-009922,"Knight, Dark Blue, Helmet",4,Unspecified
fig-009923,"Knight, Dark Blue, Armor, Helmet with Grille",5,Unspecified
fig-009924,"Troll King, Reddish Brown Crown",5,Unspecified
fig-009925,Troll Queen,5,Unspecified
fig-009926,Troll Warrior 2 (Orc),4,Unspecified
fig-009927,"Knight, Archer with Wide Brim Helmet, Quiver, Beard",5,Unspecified
fig-009928,"Knight, Archer with Wide Brim Helmet, Quiver",5,Unspecified
fig-009929,"Knight, Dark Blue, Helmet, Stubble",4,Unspecified
fig-009930,"Knight, Dark Blue, Helmet, Beard",4,Unspecified
fig-009931,"Knight, Black, Armor, Helmet with Grille",5,Unspecified
fig-009932,"Skeleton, Red Eyes, Speckle Black-Silver Helmet",7,Unspecified
fig-009933,"Knight, Black, Armor, Helmet with Grille, Cheek Lines",5,Unspecified
fig-009934,"Knight, Dark Blue, Helmet, Angry",4,Unspecified
fig-009935,"Knight, Dark Blue, Wide Brim Helmet, Stubble",4,Unspecified
fig-009936,"Knight, Dark Blue, Helmet",4,Unspecified
fig-009937,"Skeleton, Red Eyes, Black Hood and Cape",8,Unspecified
fig-009938,"Jester, Red and Blue",4,Unspecified
fig-009939,"Knight, Gold, Armor, Helmet with Visor and Dark Blue Plume",7,Unspecified
fig-009940,"Queen, Blue Dress, Crown",5,Unspecified
fig-009941,"Knight, Dark Blue, Helmet, Smile",4,Unspecified
fig-009942,"Knight, Dark Blue, Wide Brim Helmet, Cheek Lines",4,Unspecified
fig-009943,"King, Dark Blue, Gold Armor and Crown with Dark Blue Plume",6,Unspecified
fig-009944,Troll Warrior 7 with Shoulder Armor (Orc),5,Unspecified
fig-009945,"Dwarf, Dark Orange Beard, Metallic Silver Helmet, Printed Beard",5,Unspecified
fig-009946,Troll Warrior 7 with Armor (Orc),5,Unspecified
fig-009947,"Knight, Dark Blue, Helmet, Happy / Scared",4,Unspecified
fig-009948,"Knight, Dark Blue, Wide Brim Helmet, Goatee Beard",4,Unspecified
fig-009949,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5,Unspecified
fig-009950,"Troll, Sand Green with 5 White Horns (Big Fig)",12,Unspecified
fig-009951,"Knight, Dark Blue, Helmet, Goatee Beard",4,Unspecified
fig-009952,"Knight, Dark Blue, Helmet, Stubble and Printed Hair",4,Unspecified
fig-009953,"Knight, Archer with Wide Brim Helmet, Quiver, Smile",5,Unspecified
fig-009954,"Dwarf, Dark Brown Beard, Copper Helmet, Cheek Lines",5,Unspecified
fig-009955,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5,Unspecified
fig-009956,"Dwarf, Dark Orange Beard, Metallic Silver Winged Helmet, Printed Beard",5,Unspecified
fig-009957,"Skeleton, Red Eyes, Bicorne Hat, Light Bluish Gray Beard",8,Unspecified
fig-009958,"Knight, Dark Blue, Helmet, White Beard",4,Unspecified
fig-009959,"Knight, Archer with Wide Brim Helmet, Quiver, Cheek Lines",5,Unspecified
fig-009960,"Knight, Dark Blue, Helmet, Goatee Beard and Printed Hair",4,Unspecified
fig-009961,"Knight, Gray, Armor, Helmet with Visor",6,Unspecified
fig-009962,"Knight, Dark Blue, Helmet, Cheek Lines",4,Unspecified
fig-009963,Troll Warrior 10 (Orc),5,Unspecified
fig-009964,Troll Warrior 7 with Cape (Orc),5,Unspecified
fig-009965,"Knight, Dark Blue, Helmet, Smile with Brown Eyebrows",4,Unspecified
fig-009966,"Knight, Dark Blue, Wide Brim Helmet, Beard",4,Unspecified
fig-009967,"Knight, Gray, Armor, Helmet with Visor, Cheek Lines",6,Unspecified
fig-009968,"Knight, Gray, Armor, Helmet with Grille, Goatee Beard",5,Unspecified
fig-009969,"Boy, Open Dark Azure Hoodie with Zipper, Short Red Legs, Red Ushanka Hat",4,Child-coded
fig-009970,"Girl, Open Dark Pink Jacket, Short Medium Blue Legs, Red Scarf, Black Hair",5,Child-coded
fig-009971,"Man, Red Apron over Bright Light Orange Jacket, Red Legs, Red Cap",4,Adult-coded
fig-009972,"Man, Open Blue Jacket over Dark Red Shirt, Dark Blue Legs, Black Hair",4,Adult-coded
fig-009973,"Man, Open Dark Blue Flannel Shirt over Top with Banana, Dark Bluish Gray Legs, Black Hair",4,Adult-coded
fig-009974,"Man, Open Dark Red Jacket, Dark Tan Legs, Red Scarf, Black Hair, Glasses",5,Adult-coded
fig-009975,"Man, Open Orange Jacket over Light Blue Shirt, Black Hair, Glasses",4,Adult-coded
fig-009976,"Woman, Sand Blue Tunic, Light Bluish Gray Hair, Glasses",4,Adult-coded
fig-009977,"Man, Blue Robe, Light Bluish Gray Hair, Glasses",4,Adult-coded
fig-009978,"Man, Red Robe, Black Hair",4,Adult-coded
fig-009979,"Woman, Open Black Jacket over Black and White Striped Top, Red Legs, Sand Blue Beanie Hat with Hair",4,Adult-coded
fig-009980,"Woman, White and Blue Hoodie, Light Bluish Gray Legs, Black Hair",4,Adult-coded
fig-009981,"Woman, Medium Nougat Jacket, Light Bluish Gray Legs, Black Hair",4,Adult-coded
fig-009982,"Man, Red Robe with Gold Sash Belt, Red Bandanna, Glasses",4,Adult-coded
fig-009983,"Man, Red Robe with Gold Sash Belt, Red Bandanna",4,Adult-coded
fig-009984,"Man, Red Robe with Gold Sash Belt, Red Bandanna, Big Smile",4,Adult-coded
fig-009985,"Man, Red Robe with Ties, Black Hair",4,Adult-coded
fig-009986,"Man, Black Suit with Tie, Red Scarf, Light Bluish Gray Hair, Moustache and Glasses",5,Adult-coded
fig-009987,"Man, Rat Costume Head, Red Robes with Black Sash Belt",4,Adult-coded
fig-009988,"Woman, White Robes with Ties, Black Hair",4,Adult-coded
fig-009989,"Woman, White Robes with Ties, White Legs, Black Hair",4,Adult-coded
fig-009990,"Man, Pig Costume",4,Adult-coded
fig-009991,"Man, Red Robe with Ties and Sash Belt, Red Head Wrap, Stern",4,Adult-coded
fig-009992,"Man, Red Robe with Ties and Sash Belt, Red Head Wrap, Smile",4,Adult-coded
fig-009993,"Man, Red Robe with Ties and Sash Belt, Black Hair with Red Headband, Smile",4,Adult-coded
fig-009994,"Man, Red Robe with Ties and Sash Belt, Black Hair with Red Headband, Scared / Slight Smile",4,Adult-coded
fig-009995,"Girl, Dark Pink Robe, Short White Legs, Black Hair",4,Child-coded
fig-009996,"Man, Dark Blue Robe with Ties, White Legs, Black Hair, Glasses",4,Adult-coded
fig-009997,"Man, Reddish Brown Robe with Ties, Black Legs, Light Bluish Gray Hair, Glasses",4,Adult-coded
fig-009998,"Woman, Red Robe with Ties, Black Legs, Light Bluish Gray Hair, Glasses",4,Adult-coded
fig-009999,"Woman, Red Robe with Dress, Black Hair",4,Adult-coded
fig-010000,"Boy, Gold Robes, Short Red Legs, Black Hair",4,Child-coded
fig-010001,"Man, Black Suit and Tie, Light Bluish Gray Hair, Moustache and Glasses",4,Adult-coded
fig-010002,"Woman, Open Green Jacket with Necklace, Black Hair",4,Adult-coded
fig-010003,"Boy, White and Blue Hoodie, Short Medium Blue Legs, Black Hair",4,Child-coded
fig-010004,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Sweat Drops",4,Unspecified
fig-010005,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Big Smile",4,Unspecified
fig-010006,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Clenched Teeth Smile",4,Unspecified
fig-010007,"Racer, White and Red Robe with Ties and Sash Belt, Black Hair, Raised Eyebrow",4,Unspecified
fig-010008,"Man, Sand Blue Robe, Tan Conical Hat, Beard",4,Adult-coded
fig-010009,"Man, Red Flannel Shirt, Blue Legs, Black Hair, Clenched Teeth Smile",4,Adult-coded
