fig_num,fig_name,num_parts,age_group_heuristic
fig-000130,"White Torso, Black Legs, Dark Brown Hair, Glasses",4,Unspecified
fig-000131,Marge Simpson (CMF),4,Unspecified
fig-000132,Monster with Black Helmet,4,Unspecified
fig-000133,"Man, Plain Blue, White Helmet with Visor",5,Adult-coded
fig-000134,"Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest",5,Unspecified
fig-000135,"Racer, Blue Jumpsuit with Octan Logo, White Helmet with Visor, Yellow Life Vest",6,Unspecified
fig-000136,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair, Safety Glasses",5,Unspecified
fig-000137,Soldier (Imperial Soldier) - Bicorne Hat,5,Unspecified
fig-000138,"Axel, Trans-Neon Green Visor",5,Unspecified
fig-000139,"Worker - Blue Torso, Orange Overall, Black Cap",4,Unspecified
fig-000140,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble",4,Unspecified
fig-000141,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",7,Adult-coded
fig-000142,"AT-AT Driver, Sand Blue Uniform",4,Unspecified
fig-000143,Gorzan with Flat Silver Shoulder Armor,6,Unspecified
fig-000144,"Luke Skywalker, White Robe, White Legs, Cheek Lines",4,Unspecified
fig-000145,Bard the Bowman,4,Adult-coded
fig-000146,"Racer, White Shirt with Two Stripes and 'S', White Legs, Blue Helmet with Visor",5,Unspecified
fig-000147,Jor-El,5,Unspecified
fig-000148,"Race Driver, Orange Torso, Orange Legs, Red  Helmet",5,Unspecified
fig-000149,Jay ZX with Shoulder Armour,5,Unspecified
fig-000150,"Basketball Player, Light Gray torso, Black Legs",3,Unspecified
fig-000151,Worriz with Pearl Gold Shoulder Armor,6,Unspecified
fig-000152,Sandy Moondust,5,Unspecified
fig-000153,"Racer, White Jacket with Zipper, Red Helmet with Visor (3626a Head)",5,Unspecified
fig-000154,"Basketball Player, Tan Torso, Black Legs",3,Unspecified
fig-000155,"Man, Green Jacket, Blue Legs, Red Helmet with Visor, Yellow Life Vest, Blue Sunglasses",6,Adult-coded
fig-000156,"Ninja, Red",4,Unspecified
fig-000157,Biff Starling,5,Unspecified
fig-000158,"Medium Blue Torso, Blue Overall, Blue Cap",4,Unspecified
fig-000159,"Race Driver, Red Torso, Red Legs, Red Helmet - Nitro Flash",5,Unspecified
fig-000160,"Man, Blue Torso, Red Legs, Red Cap (3626a Head)",4,Adult-coded
fig-000161,"Chef, Black Apron with Flaming Burger, Black Legs, Red Cap, Glasses",4,Unspecified
fig-000162,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard",4,Unspecified
fig-000163,"Imperial Shadow Trooper, Short Line on Back, Black, Plain Legs",4,Unspecified
fig-000164,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Helmet with Visor, Open Mouth",5,Adult-coded
fig-000165,"Red Torso, Blue Legs, Blue Cap",4,Unspecified
fig-000166,"Imperial Officer / Captain / Commandant / Commander, Battle Armor, Black Hips",4,Adult-coded
fig-000167,"Blue Torso, White Legs, Blue Arctic Hood",4,Unspecified
fig-000168,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",4,Unspecified
fig-000169,"Policeman, Dark Blue Jacket with Zipper, Badge, and 'POLICE' on Back, White Helmet with Visor",5,Adult-coded
fig-000170,"Man - White Torso, Black Legs, Red Hat, Black Legs",4,Adult-coded
fig-000171,Rocker Girl,4,Child-coded
fig-000172,"White Torso, Green Overall, Green Cap",4,Unspecified
fig-000173,Chess Piece - Crown - Pawn,4,Unspecified
fig-000174,"Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)",5,Unspecified
fig-000175,"Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Goatee Beard",4,Adult-coded
fig-000176,Soccer Player,4,Unspecified
fig-000177,Hockey Player,6,Unspecified
fig-000178,Zombie Driver,4,Unspecified
fig-000179,"Mia - Medium Blue Top, Lime Shorts",4,Unspecified
fig-000180,Dastan,4,Unspecified
fig-000181,"Man, White Torso with Red and Blue Stripes, White Legs, Red Helmet",4,Adult-coded
fig-000182,"Man, Black Vest and Tie, Dark Bluish Gray Legs, Black Hair",4,Adult-coded
fig-000183,"Man, White Vest with Truck, Blue Legs, Blue Cap (3626a Head)",4,Adult-coded
fig-000184,"King Leo (Knights Kingdom I) - Lion Shield, Helmet",5,Unspecified
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile, Brown Eyebrows",4,Adult-coded
fig-000186,Sherry Scratchen-Post (CMF),4,Unspecified
fig-000187,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Brown Hair",4,Unspecified
fig-000188,"Olivia - Magenta Top, Dark Blue Shorts",4,Unspecified
fig-000189,"Flexible Gymnast, Team GB (CMF)",5,Unspecified
fig-000190,"Rebel Trooper in Hoth Uniform, Tan Hat, Moustache",6,Unspecified
fig-000191,Troll Warrior 3 (Orc),4,Unspecified
fig-000192,"Emma - Lavender Top, Bright Light Blue Skirt",4,Unspecified
fig-000193,Slithraa,3,Unspecified
fig-000194,"Spaceman, Assistant (2447 Visor)",5,Adult-coded
fig-000195,Harry Cane,5,Unspecified
fig-000196,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",4,Unspecified
fig-000197,Artist (CMF),4,Unspecified
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",5,Adult-coded
fig-000199,"Emma - Medium Blue Crop Top, Dark Pink Shorts",5,Unspecified
fig-000200,"Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair",4,Adult-coded
fig-000201,Lifeguard (CMF),4,Unspecified
fig-000202,"Olivia - White Top, Sand Blue Skirt, Headphones",5,Unspecified
fig-000203,"Woman, White Shirt with Pockets, White Legs, Red Hair, Yellow Life Vest",5,Adult-coded
fig-000204,Werewolf,4,Unspecified
fig-000205,"Man, White Jacket with Zipper, Red Legs, Red Helmet with Visor",5,Adult-coded
fig-000206,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",4,Child-coded
fig-000207,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Blue Legs, Brown Hair",4,Adult-coded
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",4,Adult-coded
fig-000209,"Man, Plain Red, White Cap",4,Adult-coded
fig-000210,Razcal with Shoulder Armor,10,Unspecified
fig-000211,"Waiter, Man, Black Suit and Bow Tie, Chef Hat",4,Adult-coded
fig-000212,"White Torso, Blue Overall, Red Hard Hat",4,Unspecified
fig-000213,Lord Garmadon (The Golden Weapons),5,Unspecified
fig-000214,Grumlo with Flat Silver Shoulder Armor,6,Unspecified
fig-000215,"Chef, Red Neckerchief, Blue Legs, Red Cap",4,Unspecified
fig-000216,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",4,Unspecified
fig-000217,"Archer (Scale Mail on Red) - Black Arms, Light Gray Legs",5,Unspecified
fig-000218,Man with Blue Torso and Black Pants,4,Adult-coded
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",4,Unspecified
fig-000220,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",4,Unspecified
fig-000221,"Man, Blue Overalls, Red Cap (3626a Head)",4,Adult-coded
fig-000222,"Tina - White/Silver Top, Dark Purple Skirt",4,Unspecified
fig-000223,Martian Manhunter (J'onn J'onzz),4,Adult-coded
fig-000224,"Chef, Red Neckerchief, White Legs, Moustache",4,Unspecified
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",4,Adult-coded
fig-000226,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Silver Sunglasses",7,Adult-coded
fig-000227,Superman,5,Adult-coded
fig-000228,"Man, Red Jacket with Classic Space Logo, Dark Orange Hair",4,Adult-coded
fig-000229,"Res-Q Man, Black Cap, Moustache",4,Adult-coded
fig-000230,"White Torso, Blue Legs, Red Cap - Anaheim",4,Unspecified
fig-000231,"Man, White Shirt with Shell Logo, Red Cap",4,Adult-coded
fig-000232,Eris in Silver Outfit with Pearl Gold Shoulder Armor,10,Unspecified
fig-000233,"Knight (Dragon Knights) - Light Gray Legs, Black Hips",4,Unspecified
fig-000234,"Man, Red Top with Dark Blue Arms, Black Legs, Red Cap, Sunglasses",4,Adult-coded
fig-000235,Zev Senesca with Plain Helmet,4,Unspecified
fig-000236,"LEGOLAND Police - Black, White Hat, White Belt",5,Unspecified
fig-000237,"LEGOLAND Blue, White Hat",4,Unspecified
fig-000238,"Boba Fett, Helmet and Jetpack, Light Gray Armor, Plain Legs",4,Unspecified
fig-000239,"LEGOLAND Blue Torso, Black Legs, Red Hat",4,Unspecified
fig-000240,"LEGOLAND Red Torso, Blue Legs, Black Hat",4,Unspecified
fig-000241,Daredevil,5,Unspecified
fig-000242,"Racer, Blue Jacket with Zipper, White Helmet with Visor",5,Unspecified
fig-000243,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Hat",4,Adult-coded
fig-000244,Batzarro,5,Unspecified
fig-000245,Larry the Barista (CMF),4,Unspecified
